"variable","E","k","rho","mae","rmse"
"green_density",8,14,0.763226197536223,0.0801736024459001,0.129341341301648
"green_density",8,15,0.760661677805086,0.0809950132785555,0.130078612474056
"green_density",8,16,0.75709026915685,0.0817016441948896,0.131001224944239
"green_density",8,17,0.756074589926511,0.0821435924318929,0.131420249993671
"green_density",9,4,0.821258806840161,0.0644269443024827,0.113512815265149
"green_density",9,5,0.818318049336458,0.0652778834313904,0.114219978991991
"green_density",9,6,0.81846692462104,0.0656820880841254,0.114257292987771
"green_density",9,7,0.814687720586651,0.0668845200067431,0.115466425356199
"green_density",9,8,0.809242250916966,0.068724884295829,0.117116722703246
"green_density",9,9,0.804860961312209,0.0700766160033245,0.118361764162993
"green_density",9,10,0.801787581019118,0.0713069872687711,0.119321184611195
"green_density",9,11,0.798471905528594,0.0722849084403615,0.12032915950148
"green_density",9,12,0.7937015279833,0.073729439469819,0.121693543140111
"green_density",9,13,0.791244908663461,0.0746202816373083,0.122505132762746
"green_density",9,14,0.787080151848414,0.0755090036033289,0.123673981710911
"green_density",9,15,0.784866621602849,0.0761776088829572,0.124366562149767
"green_density",9,16,0.780430353797562,0.0773623492595285,0.125517409811492
"green_density",9,17,0.775427836775738,0.0781468232281984,0.126775109285921
"green_density",10,4,0.833705450068697,0.0612265689707264,0.109719219358971
"green_density",10,5,0.836756000780494,0.0613514339772546,0.108846283429332
"green_density",10,6,0.828893597895401,0.0629628799909596,0.111249388575744
"green_density",10,7,0.823267458131312,0.064709328260812,0.11300848010405
"green_density",10,8,0.818840450213952,0.066198397461677,0.114314912379036
"green_density",10,9,0.814911197409269,0.0675792992142395,0.115485920980096
"green_density",10,10,0.809418121587711,0.0691440388658771,0.117099838372279
"green_density",10,11,0.807278349341648,0.0699893943733769,0.117815041193015
"green_density",10,12,0.80252437650462,0.0711994435924345,0.119205784864721
"green_density",10,13,0.799883463080479,0.0721973208267477,0.120013135326612
"green_density",10,14,0.795234444970334,0.0734526033411895,0.121342136063594
"green_density",10,15,0.791495627669977,0.0743638947473791,0.122398718843967
"green_density",10,16,0.788586376138225,0.0749559419670037,0.123239561675848
"green_density",10,17,0.784705821745127,0.0759378781295608,0.12426812533233
"green_density",11,4,0.837541715167337,0.0598459213598643,0.108560161609121
"green_density",11,5,0.832854745110525,0.0610791310239142,0.109975900937932
"green_density",11,6,0.829600074901886,0.0621588460697643,0.110968271566357
"green_density",11,7,0.825854629710676,0.0638359007215776,0.112215854236335
"green_density",11,8,0.820277278781996,0.0650947025327676,0.11382795004273
"green_density",11,9,0.81651646332382,0.0662447420653663,0.114908797307212
"green_density",11,10,0.812093982793285,0.0678645561625741,0.116184046029509
"green_density",11,11,0.807337083874394,0.0692024722763204,0.117580537542908
"green_density",11,12,0.802843808420974,0.0702017130671692,0.118894951880226
"green_density",11,13,0.798769319683768,0.0713784282030817,0.120051055813456
"green_density",11,14,0.794795566338017,0.0725674619517886,0.12112860346482
"green_density",11,15,0.793514076475226,0.0731157397979405,0.121589466057146
"green_density",11,16,0.79044475677072,0.0739922981716452,0.122471786962857
"green_density",11,17,0.787960492107635,0.0745419790899053,0.123177843217709
"green_density",12,4,0.839590906455136,0.0588272793212197,0.107944909217061
"green_density",12,5,0.832516770565439,0.0605588588400994,0.110072563987839
"green_density",12,6,0.828845331873471,0.0622426688973131,0.111162730845684
"green_density",12,7,0.826093666774417,0.0633861273922822,0.112010138429465
"green_density",12,8,0.821366255223106,0.0647960985737874,0.113409693883821
"green_density",12,9,0.817278086267108,0.0659318123801313,0.114637154218463
"green_density",12,10,0.813523718898122,0.0671202423141234,0.115733131444166
"green_density",12,11,0.80850799781849,0.068336678614263,0.117169068450225
"green_density",12,12,0.804219104371014,0.0695008338400354,0.118399483835383
"green_density",12,13,0.798912901974498,0.0706962240340248,0.119835150205593
"green_density",12,14,0.797229489489855,0.0713965690963829,0.120379828197955
"green_density",12,15,0.79484266394407,0.0721100343527828,0.12105131253
"green_density",12,16,0.792671097297945,0.072789158355299,0.121701595816757
"green_density",12,17,0.788444298791094,0.0738498844916481,0.122820138389868
"green_density",13,4,0.833206016580496,0.0596655537989074,0.10988236022071
"green_density",13,5,0.827485295710414,0.0610288382794003,0.111567617210614
"green_density",13,6,0.822002752930306,0.0629831359129006,0.113190586114884
"green_density",13,7,0.817599365330726,0.0642564935755679,0.114462937357528
"green_density",13,8,0.813414278494208,0.0658506744754344,0.115694838298974
"green_density",13,9,0.809749811621033,0.0670254880253846,0.1167891494365
"green_density",13,10,0.804159843643085,0.0686111752274785,0.118342892211445
"green_density",13,11,0.79892986387391,0.0698136255722083,0.119793268440978
"green_density",13,12,0.795838213713542,0.070526722191394,0.120628648826598
"green_density",13,13,0.793400878027192,0.0713708510381686,0.121340161471323
"green_density",13,14,0.79151431721401,0.072077429855222,0.12190706557799
"green_density",13,15,0.789583173392885,0.0729811049637142,0.12250120044914
"green_density",13,16,0.785955301814087,0.0737931811350526,0.123484981745455
"green_density",13,17,0.783488738367466,0.0745558914293109,0.124172611088282
"green_density",14,4,0.836176812506827,0.0590550624759733,0.108980373676738
"green_density",14,5,0.830337544859724,0.0611409973635062,0.110767028455591
"green_density",14,6,0.823456692684816,0.0630551332147829,0.112854426313892
"green_density",14,7,0.817630577621477,0.0647039360421772,0.114544394348308
"green_density",14,8,0.813900102699204,0.065982909133711,0.115650422096918
"green_density",14,9,0.80881978841706,0.0672978205166394,0.117082667379003
"green_density",14,10,0.806508379581555,0.0683838715953831,0.117790013627276
"green_density",14,11,0.801830204955993,0.0694204720111196,0.119093192508263
"green_density",14,12,0.798537738122652,0.0703576141052505,0.12004116535134
"green_density",14,13,0.797364517516389,0.0710939886474087,0.120462865600009
"green_density",14,14,0.795275396569472,0.071995689166916,0.121081275573813
"green_density",14,15,0.793396588943893,0.0728210551885917,0.121717647597421
"green_density",14,16,0.790181052142322,0.0736020121917398,0.12261524108778
"green_density",14,17,0.787159597091858,0.0744240619188921,0.123446296840107
"green_density",15,4,0.829026330746774,0.0604859054003509,0.111118770438347
"green_density",15,5,0.823871824109983,0.0622586206342118,0.112623129268697
"green_density",15,6,0.818299964077663,0.0643942180663737,0.114297672837024
"green_density",15,7,0.811414454149963,0.0660048859676224,0.116234917802231
"green_density",15,8,0.807939567440233,0.0671596572012755,0.117242044509861
"green_density",15,9,0.804058496044655,0.0683233724606497,0.118352204910037
"green_density",15,10,0.800268296400483,0.0695688581911171,0.119427987704177
"green_density",15,11,0.795368963492689,0.0706884248517696,0.120758092605558
"green_density",15,12,0.791641142986091,0.0717606923728025,0.121793782039468
"green_density",15,13,0.790288727410789,0.0724847501600586,0.122248010311079
